Jahr;Benzin;Diesel;kombiniert
1995;9,1;7,5;8,8
1996;9,1;7,4;8,7
1997;9,0;7,3;8,7
1998;8,8;7,3;8,6
1999;8,8;7,2;8,5
2000;8,6;7,1;8,3
2001;8,5;6,9;8,1
2002;8,5;6,9;8,1
2003;8,5;6,9;8,0
2004;8,4;6,9;7,9
2005;8,3;6,8;7,8
2006;8,3;6,9;7,7
2007;8,2;6,9;7,6
2008;8,1;6,8;7,5
2009;8,0;6,8;7,5
2010;7,9;6,8;7,5
2011;7,9;6,7;7,4
2012;7,8;6,7;7,3
2013;7,8;6,8;7,3
2014;7,8;6,8;7,3
2015;7,7;6,8;7,3
2016;7,7;6,8;7,2
2017;7,8;7,0;7,4
2018;7,8;7,0;7,4
2019;7,7;7,0;7,4
2020;7,7;7,0;7,4
2021;7,7;7,0;7,4
2022;7,7;7,0;7,4
