Jahr;Benzin;Diesel;Flüssiggas;Erdgas;Elektro (BEV);Hybrid gesamt;darunter Plug-In;Pkw gesamt
2013;30206742;12578950;494777;76284;7114;64995;0;43428862
2014;29956296;13215190;500867;79065;12156;85575;0;43849149
2015;29837614;13861404;494148;81423;18948;107754;0;44401291
2016;29825223;14532426;475711;80300;25502;130365;0;45069527
2017;29978635;15089392;448025;77187;34022;165405;20975;45792666
2018;30451268;15225296;421283;75459;53861;236710;44419;46463877
2019;31031021;15153364;395592;80776;83175;341411;66997;47085339
2020;31464680;15111382;371472;82198;136617;539383;102175;47705732
2021;31435340;15060124;346765;83067;309083;1004089;279861;48238468
2022;31005134;14824262;331481;82309;618460;1669051;565956;48540878
2023;30556538;14437489;326853;80630;1013009;2337897;864712;48763036
2024;30235032;14142184;313723;77421;1408681;2911262;921886;49098685
